realSum,room_type,person_capacity,host_is_superhost,cleanliness_rating,bedrooms,dist,metro_dist
583.7414758746748,Entire home/apt,2,True,10,1,2.572843321360758,1.4724409675029893
374.944344198908,Private room,4,False,6,1,0.9445213338246298,0.7271074308544552
372.3666018325405,Private room,2,False,10,1,3.893254193637553,0.6574336748516322
479.2257399292293,Shared room,2,True,10,1,1.3772429996352762,0.0779166156732898
454.8543575563003,Entire home/apt,2,True,10,1,2.2849446847498727,1.8275555238239385
206.4537295245237,Private room,2,False,9,1,6.79281178529689,2.443817003121332
497.7386169240504,Private room,2,False,10,1,1.095053365140708,0.9852069073138536
399.5500667869613,Entire home/apt,2,True,10,1,9.335518920505798,0.3804858903310787
761.8400393691562,Private room,4,False,9,2,1.09118232606682,1.216674871885683
317.0623110632016,Private room,2,False,8,1,2.6322379401630376,1.1721670782255924
319.40571321444475,Private room,2,False,10,1,0.3530819578031284,0.4957339182902796
